denoiser,dataset,group,averaging,noise_mask,noise_sigma,EhSE_psnr,SEavg_psnr,gain_psnr,realized_gain,predicted_gain,tracking
restormer,val_images_circle,fourier_rotation,32,circle,50.0,16.733059695220987,18.848878938772234,2.115819243551247,0.008182459054177298,0.01000668500610441,0.8176992729546024
restormer,val_images_circle,rotation,2,circle,50.0,25.4754175270945,25.49240408385229,0.016986556757789373,1.106446042008015e-05,1.6876458994633573e-05,0.6556150448147008
restormer,val_images_circle,rotation,4,circle,50.0,25.474333945399184,25.500570632629184,0.026236687229999944,1.7075762992943794e-05,2.619514752207786e-05,0.6518674108840944
restormer,val_images_circle,rotation,8,circle,50.0,20.905859964084044,22.840471550489667,1.934611586405623,0.0029179495898019755,0.0038560575889590915,0.7567183638949879
restormer,val_images_circle,rotation,16,circle,50.0,20.30911676769346,21.611807394853958,1.3026906271604979,0.002413446479108427,0.004494615995523493,0.5369638877964547
restormer,val_images_circle,rotation,32,circle,50.0,20.112834994956664,21.10015103750755,0.9873160425508871,0.001981332689689307,0.004629055977590687,0.42802089654585324
restormer,val_images_diag_padded,fourier_rotation,2,circle,50.0,25.723217295925956,25.74133259061961,0.01811529469365425,1.1143815485228437e-05,6.0212954046328835e-05,0.18507338930181375
restormer,val_images_diag_padded,fourier_rotation,4,circle,50.0,25.724432154485967,25.755472164110312,0.031040009624344833,1.9060893042925217e-05,6.617468016266239e-05,0.28803906563767434
restormer,val_images_diag_padded,fourier_rotation,8,circle,50.0,18.70359735370799,22.255552529574206,3.5519551758662153,0.00752944904672386,0.006251112940589716,1.2044973620351112
restormer,val_images_diag_padded,fourier_rotation,16,circle,50.0,17.375876110668813,20.067665037311325,2.691788926642513,0.008452966358419151,0.008957042259001981,0.9437229516165088
restormer,val_images_diag_padded,fourier_rotation,32,circle,50.0,16.86837242265127,19.125383698745825,2.2570112760945555,0.008335621596045551,0.010134638848305821,0.8224882722327095
restormer,val_images_diag_padded,rotation,2,circle,50.0,25.88206584475256,25.89259218005237,0.010526335299811507,6.248274394446071e-06,9.684373977314386e-06,0.6451913576533324
restormer,val_images_diag_padded,rotation,4,circle,50.0,25.881460444670275,25.899006301251365,0.017545856581090646,1.0407998522490804e-05,1.6168721311242667e-05,0.6437119127814867
restormer,val_images_diag_padded,rotation,8,circle,50.0,21.187868690072513,23.351876046029354,2.1640073559568407,0.002985181731092363,0.00399241591609884,0.747713112517924
restormer,val_images_diag_padded,rotation,16,circle,50.0,20.647699258478845,22.039013024838816,1.3913137663599713,0.0023613521233960917,0.004530032232658554,0.5212660754094188
restormer,val_images_diag_padded,rotation,32,circle,50.0,20.490362856016024,21.52439134478979,1.0340284887737674,0.001892499680007515,0.004610025685042443,0.41051825072208714
