denoiser,dataset,group,averaging,noise_mask,noise_sigma,EhSE_psnr,SEavg_psnr,gain_psnr,realized_gain,predicted_gain,tracking
restormer,square_val_images,fourier_rotation,2,circle,15.0,29.584377924104864,29.614580757678866,0.0302028335740018,7.626342741862645e-06,4.4953585202502737e-05,0.1696492661821788
restormer,square_val_images,fourier_rotation,4,circle,15.0,29.579167082228185,29.63019693575463,0.0510298535264439,1.286987438090339e-05,4.817339891910968e-05,0.2671572832656842
restormer,square_val_images,fourier_rotation,8,circle,15.0,27.76312967131579,29.389533439571565,1.6264037682557737,0.0005228122654592,0.0001447735469608,3.6112416697276006
restormer,square_val_images,fourier_rotation,16,circle,15.0,24.46843939831806,28.85398105665418,4.38554165833612,0.0022720396938386,0.0001387580048657,16.374116189097656
restormer,square_val_images,fourier_rotation,32,circle,15.0,23.560105474696,28.58435164935122,5.024246174655218,0.0030200746517383,0.0001331991820261,22.67337235709266
restormer,square_val_images,rotation,2,circle,15.0,28.698262657851565,27.56637429696024,-1.1318883608913275,-0.000401805529605,0.000410096252851,-0.9797834698845452
restormer,square_val_images,rotation,4,circle,15.0,28.70004712553316,27.571032912979717,-1.1290142125534466,-0.0004004823148193,0.0004126021522457,-0.9706258502037453
restormer,square_val_images,rotation,8,circle,15.0,28.551575066605125,28.506508378929468,-0.0450666876756571,-1.4560259133909647e-05,0.0004360728949681,-0.0333895073551249
restormer,square_val_images,rotation,16,circle,15.0,28.53351207801294,28.756120723124155,0.2226086451112152,7.003636818557233e-05,0.0003421136260456,0.2047166872453818
restormer,square_val_images,rotation,32,circle,15.0,28.56875172562953,28.842747984456093,0.2739962588265605,8.500752277837182e-05,0.000278468103515,0.3052684372297341
restormer,val_images,fourier_rotation,2,circle,15.0,30.218757296918643,30.242057365399056,0.0233000684804132,5.087830962001059e-06,3.098423761017741e-05,0.1642070728353134
restormer,val_images,fourier_rotation,4,circle,15.0,30.2388623848708,30.279334672606943,0.0404722877361471,8.779406568000893e-06,3.558156557236002e-05,0.2467403113600147
restormer,val_images,fourier_rotation,8,circle,15.0,28.11581626955558,30.218044421018423,2.1022281514628425,0.0005921534129034,9.96544049092939e-05,5.94206962996167
restormer,val_images,fourier_rotation,16,circle,15.0,24.487445192773727,29.9261372292914,5.438692036517672,0.0025412528766947,0.000105111492965,24.17673657760377
restormer,val_images,fourier_rotation,32,circle,15.0,23.224851932177017,29.801050638953832,6.576198706776815,0.0037121149006835,0.0001056135878291,35.14808063038101
restormer,val_images,rotation,2,circle,15.0,29.443647419463552,28.3341853788033,-1.109462040660251,-0.0003308390759092,0.0003404691823822,-0.971715189006014
restormer,val_images,rotation,4,circle,15.0,29.455734368296067,28.351588005105395,-1.1041463631906725,-0.0003281294736356,0.0003448665242348,-0.951468033505636
restormer,val_images,rotation,8,circle,15.0,29.665621173226363,29.536383546301963,-0.1292376269244002,-3.262274127995284e-05,0.0003555033212873,-0.0917649409345136
restormer,val_images,rotation,16,circle,15.0,29.798949075596,29.906144143644088,0.1071950680480888,2.553564642711153e-05,0.0002747076196525,0.0929557267447167
restormer,val_images,rotation,32,circle,15.0,29.90206203858312,30.05268615727513,0.1506241186920043,3.486539295040414e-05,0.0002215275032633,0.1573862948699488
