dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.00794342272465447,20.99992325012016,0.48038736188560954,0.004696033877113207,23.282687787557016,0.6410598457911542,2.282764537436858,0.16067248390554462,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.008927772365786554,20.492568916080103,0.49059174778116094,0.005182668463990428,22.854465721492314,0.6141273342349054,2.3618968054122114,0.12353558645374446,True,20,20
val_images,test002.png,1,upright,0.0,481,321,154401.0,1.0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0038893401297342227,24.10124075364373,0.7211078012771938,0.0015865723231810959,27.995401259949855,0.8295352887934664,3.8941605063061253,0.10842748751627262,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.004523967615400889,23.4448051261109,0.7165430547907489,0.0018334514522033516,27.367305851957873,0.8055594976839855,3.922500725846973,0.08901644289323662,True,20,20
val_images,test003.png,2,upright,0.0,481,321,154401.0,1.0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.004781531164690481,23.204330092678724,0.7179322733499135,0.003166381805103877,24.994367187054177,0.7499974700617223,1.790037094375453,0.03206519671180885,True,20,20
val_images,test003.png,2,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.005072731636879697,22.94758112589974,0.7207247870238404,0.002931329035703368,25.329354301559025,0.7923936435119202,2.3817731756592835,0.07166885648807986,True,20,20
val_images,test004.png,3,upright,0.0,321,481,154401.0,1.0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.0020246732357020033,26.93645058070325,0.7615864595274642,0.0019055789607524602,27.19973050823279,0.7769002265205536,0.2632799275295383,0.015313766993089395,True,20,20
val_images,test004.png,3,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.0022549900312935265,26.46855373681268,0.7687513665295413,0.001214238107745034,29.15696141316735,0.8561185094908007,2.688407676354668,0.08736714296125936,True,20,20
val_images,test005.png,4,upright,0.0,321,481,154401.0,1.0,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,True,0,20,0.004928222915568673,23.073096561983647,0.6259368867429616,0.0026100598416420556,25.833495353448598,0.7618062605650222,2.760398791464951,0.13586937382206066,True,20,20
val_images,test005.png,4,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,False,0,20,0.005517939527778003,22.582230633523444,0.6389666910954911,0.002939216829266811,25.317683743627136,0.760832833959575,2.735453110103691,0.12186614286408393,True,20,20
